"","n_original","n_replication","p_reorder","progress","rep","id","logl","unrestricted.logl","baseline.logl","nvar","nobs","npar","df","objective","chisq","pvalue","baseline.chisq","baseline.npar","baseline.df","baseline.pvalue","nfi","pnfi","tli","nnfi","rfi","ifi","rni","cfi","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.pvalue","aic.ll","aic.ll2","aic.x","aic.x2","bic","bic2","ebic.25","ebic.5","ebic.75","ebic1","sensitivity","specificity","correlation","bias","true_pos","false_pos","true_neg","false_neg","type","error","errorMessage"
"12",907,400,0.2,FALSE,38,12,-19587.0046268636,-19005.6814954903,-23122.5352021766,41,902,443,459,22.5820634115348,1162.64626274663,1.18077136401538e-62,8233.70741337254,82,820,0,0.85879431896519,0.480715356591491,0.830441287629581,0.830441287629581,0.747737127563085,0.909495467117341,0.90508847685607,0.90508847685607,0.0619071561651703,0.0574975642814386,0.0663393332238168,6.60855967715701e-06,40060.0092537272,31119.4637991817,244.646262746632,2048.64626274663,41828.228048096,40422.5596821413,43473.340473646,45118.452899196,46434.5428396361,48408.6777502961,0.318181818181818,0.833333333333333,0.638273788193241,0.032677032611961,7,3,15,15,"semi",FALSE,""
"13",907,200,0.1,FALSE,70,13,-9585.14291744061,-9176.43023448261,-11937.3512857279,41,902,427,475,20.498469451623,817.425365916006,1.52804104242983e-20,5521.84210249066,82,820,0,0.851965095932877,0.493516366546484,0.874276017141458,0.874276017141458,0.744445007715703,0.932150568818665,0.927172083100235,0.927172083100235,0.0600373012048173,0.0530258787868788,0.0669336442862482,0.010073906260134,20024.2858348812,18421.1630278637,-132.574634083994,1671.42536591601,21432.6673503972,20079.887156113,23018.36262288,24604.0578953627,25872.6141133489,27775.4484403282,0.272727272727273,0.944444444444444,0.226447988759638,0.0383483179444684,6,1,17,16,"semi",FALSE,""
"14",907,500,0.2,FALSE,88,14,-24691.9866830342,-23926.8937968659,-29228.6866283947,41,902,433,469,23.4149870093537,1530.18577233668,1.14499191671484e-112,10603.5856630576,82,820,0,0.855691666860601,0.489413892387343,0.810358065711862,0.810358065711862,0.747691187261605,0.895290660356753,0.891534064413248,0.891534064413248,0.0672704427069578,0.0635334276055037,0.0710394813739069,1.738609256563e-13,50249.9733660684,55944.5794266745,592.185772336677,2396.18577233668,52074.8986726852,50700.5299093543,53682.8753775682,55290.8520824512,56577.2334463575,58506.8054922171,0.227272727272727,0.944444444444444,0.539939842256615,0.0252894503188561,5,1,17,17,"semi",FALSE,""
"15",907,100,0.3,FALSE,88,15,-4720.70843923328,-4289.79967754537,-5900.60687270102,41,902,418,484,19.0612090618824,861.817523375808,1.27995208703149e-23,3221.6143903113,82,820,9.328165421394e-281,0.732488926679853,0.432347122576889,0.733469256716816,0.733469256716816,0.546778760077436,0.861990233280135,0.84268185396456,0.84268185396456,0.0883524033469725,0.0787057010151247,0.0978773719130662,9.29264443172428e-10,10277.4168784666,9179.34791294931,-106.182476624192,1697.81752337581,11366.3780162096,10046.2290133339,12918.651140092,14470.9242639744,15712.7427630803,17575.4705117392,0.181818181818182,1,0.592438328664795,0.0339972006187572,4,0,18,18,"semi",FALSE,""
"16",907,500,0.1,FALSE,34,16,-24415.1729294335,-23887.8322114001,-29346.1512658726,41,902,428,474,22.3077319949509,1054.6814360668,3.54363487659911e-46,10916.638108945,82,820,0,0.903387707319655,0.522202162523801,0.900506052387955,0.900506052387955,0.832864810131049,0.944393224201708,0.94248764491694,0.94248764491694,0.0494988145477451,0.0454911249193072,0.0535115005751307,0.575382704485064,49686.345858867,54858.5148729515,106.6814360668,1910.6814360668,51490.1981249917,50131.6996707061,53079.6069695411,54669.0158140906,55940.5428897301,57847.8335031895,0.227272727272727,0.888888888888889,0.389829108859934,0.0356395707180962,5,2,16,17,"semi",FALSE,""
"17",907,100,0.1,FALSE,97,17,-4617.08516807969,-4284.37693105224,-5682.69572714855,41,902,425,477,16.9887436388106,665.416474054909,2.33003765408078e-08,2796.63759219263,82,820,1.40428709621651e-213,0.76206553329879,0.443299096809174,0.836134587698783,0.836134587698783,0.590972195607983,0.918773314120673,0.90467829064917,0.90467829064917,0.0628492712974355,0.051076521318374,0.0738911430582089,0.0371911893722816,10084.1703361594,8973.43413984036,-288.583525945091,1515.41647405491,11191.3676652043,9849.11090390732,12769.6357935537,14347.903921903,15610.5184245824,17504.4401786016,0.0454545454545455,1,0.673849112561028,0.0241321004351198,1,0,18,21,"semi",FALSE,""
"18",907,100,0.2,FALSE,30,18,-4688.54797844902,-4285.30509051904,-5694.2946355988,41,902,415,487,18.4179998461973,806.485775859965,3.56027265516817e-18,2817.97909015952,82,820,7.28113270943219e-217,0.713807040415509,0.423931742295552,0.730756343676142,0.730756343676142,0.518114523902911,0.86293923561618,0.840095535817416,0.840095535817416,0.0809955731621664,0.0709794757641389,0.0908005085023641,1.10892053961642e-06,10207.095956898,9114.43772904995,-167.514224140035,1636.48577585996,11288.2415840831,9977.56733481662,12829.3739917654,14370.5063994477,15603.4123255935,17452.7712148123,0.136363636363636,1,0.139332372386626,0.040594921617531,3,0,18,19,"semi",FALSE,""
"19",907,400,0,FALSE,73,19,-19086.4871070548,-18817.9601758737,-23304.5279440888,41,902,409,493,20.0794758124908,537.053862362212,0.0831329032310505,8973.13553643032,82,820,0,0.940148696051474,0.565235740430947,0.99101276161002,0.99101276161002,0.900450163817867,0.994805052092274,0.994596696919195,0.994596696919195,0.0149464667384147,0,0.0230022278840286,1,38990.9742141096,5452.97421410957,-448.946137637788,1355.05386236221,40623.4832138767,39325.6991017424,42142.3341891588,43661.1851644409,44876.2659446665,46698.887115005,0.181818181818182,1,0.806743046339934,0.0198648351997238,4,0,18,18,"semi",FALSE,""
"20",907,300,0.2,FALSE,63,20,-14544.0705069577,-13930.5147452868,-17239.8884266897,41,902,429,473,21.6075103236014,1227.11152334178,2.35822630188075e-68,6618.74736280583,82,820,0,0.814600640260488,0.469885491272208,0.774547995602143,0.774547995602143,0.67858884780888,0.877295391622233,0.869952685268066,0.869952685268066,0.0728998426381854,0.0679089571630683,0.0779184448542346,2.59792187762287e-14,29946.1410139154,27108.1410139154,281.111523341784,2085.11152334178,31535.0636955429,30174.5291111499,33128.186112159,34721.3085287752,35995.8064620681,37907.5533620075,0.181818181818182,1,0.639214178191247,0.0247413061812997,4,0,18,18,"semi",FALSE,""
"21",907,400,0.3,FALSE,3,21,-19697.4939942429,-19004.1276981441,-23323.4210063704,41,902,404,498,23.1345102484315,1386.7325921976,8.12567459573397e-85,8638.58661645249,82,820,0,0.839472282473093,0.509825849599513,0.812833824987147,0.812833824987147,0.735677252264933,0.89082695952139,0.886330786394633,0.886330786394633,0.0667945281963718,0.0626385293909394,0.0709780492737751,4.67546001914343e-11,40202.9879884858,-25245.0120115142,390.732592197601,2194.7325921976,41815.5396655175,40533.6208848274,43315.822780466,44816.1058954145,46016.3323873734,47816.6721253116,0.0909090909090909,0.888888888888889,-0.0639329062551828,0.0367021484269333,2,2,16,20,"semi",FALSE,""
